timestamp,symbol,side,strategy,price,amount,outcome
2025-07-02T22:41:34.155564,ETH/USD,buy,eth_semi_risky,2603.715,20,pending
2025-07-02T22:49:52.001018,SOL/USD,buy,sol_momentum_trend,153.72,10,pending
